artist,track,isrc_source,release_date,eligibility
Lady London,What Is It,deezer,2022-06-10,PARTIAL (2022)
Little Simz,Selfish,deezer,2024-06-30,FULL (1.7yr old)
Rapsody,Power,musicbrainz,2011-06-21,CHECK — streaming? (2011)
Che Noir,Hunger Games,deezer,2020-12-04,PARTIAL (2020)
Armani Caesar,Drill Sgt,miss,,UNKNOWN
Baby Tate,I Am,musicbrainz,2021-05-21,PARTIAL (2021)
Sukihana,No Escorts,miss,,UNKNOWN
Asianae,Dumped,miss,,UNKNOWN
Enchanting,Want It,miss,,UNKNOWN
Maliibu Miitch,Give Em Hell,miss,,UNKNOWN
Omeretta The Great,Loyalty,miss,,UNKNOWN
LightSkinKeisha,Talk My Shit,miss,,UNKNOWN
Tay Money,Astroworld,miss,,UNKNOWN
Big Latto,See Sum,miss,,UNKNOWN
K Shiday,Money,deezer,2025-02-12,FULL (1.1yr old)
Bbyafricka,Love,deezer,2018-01-21,CHECK — streaming? (2018)
Flo Milli,Roaring 20s,musicbrainz,2023-03-24,FULL (3.0yr old)
GloRilla,No More Love,musicbrainz,2022-11-11,PARTIAL (2022)
Sexyy Red,Wet,musicbrainz,2024-10-14,FULL (1.4yr old)
Latto,Soufside (Remix),miss,,UNKNOWN
Nicki Minaj,Chun-Li,musicbrainz,2018-08-10,CHECK — streaming? (2018)
Ice Spice,Bikinis,miss,,UNKNOWN
Megan Thee Stallion,Savage,musicbrainz,2020-03-06,PARTIAL (2020)
Doja Cat,Streets,musicbrainz,2019-11-07,PARTIAL (2019)
Coi Leray,Twinnem,musicbrainz,2022-02,PARTIAL (2022)
BIA,Besito,musicbrainz,2021-12,PARTIAL (2021)
JT,New Day,deezer,2023-03-31,FULL (3.0yr old)
Yung Miami,I Want You,miss,,UNKNOWN
Anycia,Go Girl,miss,,UNKNOWN
Karrahbooo,Boss,miss,,UNKNOWN
Monaleo,Hands On Me,miss,,UNKNOWN
TiaCorine,Lotto,musicbrainz,2021-04-09,PARTIAL (2021)
ScarLip,King Kong,miss,,UNKNOWN
Kali,Wet,musicbrainz,2016-04-30,CHECK — streaming? (2016)
